"zcta","pct_nhwhite","pct_nbblack","pct_hispanic","income","poverty_rate","population","dataset"
"51663",28.757752012461424,15.96739802043885,30.446418491192162,48496.92522135921,31.059169257059693,12868,"ACS"
"57870",78.83051354438066,14.451585127972066,83.28187819570303,46722.42867213538,32.452005706727505,24522,"ACS"
"02986",40.89769218116999,14.918039203621447,59.364750841632485,35518.34709816008,87.0254177832976,42184,"ACS"
"29925",88.30174040049314,51.44342598505318,80.71966413408518,43027.15415448378,32.86737794987857,49612,"ACS"
"95246",94.04672842938453,49.28273062687367,29.40507777966559,75984.90232129877,12.570123630575836,12967,"ACS"
"68293",4.555649938993156,61.634276853874326,14.108522166498005,49625.8498636595,35.6221430702135,31529,"ACS"
"62555",52.810548804700375,44.742289069108665,88.8621102552861,59134.9189044332,93.06991861667484,23481,"ACS"
"45404",89.2419044394046,5.567671521566808,0.8285004179924726,48154.735017352716,87.5178548740223,42570,"ACS"
"65161",55.14350144658238,0.5396309541538358,56.91206529736519,56098.242961614465,82.02166957780719,36625,"ACS"
"46435",45.661473530344665,22.183420113287866,96.75501899328083,49472.73191012025,2.1772020729258657,10374,"ACS"
"09642",95.68333453498781,85.0963223958388,26.91887633409351,63639.21955681457,63.123686774633825,14307,"ACS"
"59134",45.33341561909765,26.734620612114668,98.39600706472993,44963.665828656165,78.09162996709347,9449,"ACS"
"52132",67.75706354528666,59.860027325339615,3.5389487631618977,32909.39831318301,71.72445559408516,27157,"ACS"
"96849",57.26334019564092,60.8599697239697,25.797643046826124,58985.49683127699,18.578583002090454,17359,"ACS"
"14183",10.292468266561627,99.21584404073656,25.989112141542137,47622.65973505683,58.067463571205735,47193,"ACS"
"15180",89.98249704018235,19.118996080942452,94.81884876731783,64634.07580530252,41.37886366806924,48222,"ACS"
"27168",24.60877343546599,75.33905846066773,97.96227386686951,51243.78266479307,32.74226633366197,16751,"ACS"
"89709",4.205953353084624,24.238733714446425,73.43848636373878,64537.40843833106,42.08270739763975,34121,"ACS"
"09097",32.79207192827016,32.74522200226784,28.747975663281977,53502.26959507424,36.56014197040349,7043,"ACS"
"30538",95.45036491472274,0.3535494673997164,40.89591184165329,46509.74520340228,87.07069680094719,35783,"ACS"
"56219",88.95393160637468,99.74241435993463,20.157764805480838,57255.986078198286,27.297640731558204,38503,"ACS"
"94517",69.28034061565995,43.805950437672436,76.65863591246307,45407.615703785305,39.33223884087056,17247,"ACS"
"07989",64.05068137682974,99.76887449156493,74.3104939814657,66847.59231253935,89.22665952704847,11602,"ACS"
"13536",99.42697766236961,19.671916915103793,49.84613808337599,51465.84016803509,82.3059925576672,23010,"ACS"
"90077",65.57057991158217,11.147679574787617,67.04995955806226,29701.429070704082,72.55775928497314,20316,"ACS"
"06216",70.85304681677371,25.073645054362714,75.24627936072648,45278.29919893971,43.983073718845844,29166,"ACS"
